Title,Author,rowindex,"Asian,GreaterEastAsian,EastAsian_mean","Asian,GreaterEastAsian,EastAsian_std","Asian,GreaterEastAsian,EastAsian_lb","Asian,GreaterEastAsian,EastAsian_ub","Asian,GreaterEastAsian,Japanese_mean","Asian,GreaterEastAsian,Japanese_std","Asian,GreaterEastAsian,Japanese_lb","Asian,GreaterEastAsian,Japanese_ub","Asian,IndianSubContinent_mean","Asian,IndianSubContinent_std","Asian,IndianSubContinent_lb","Asian,IndianSubContinent_ub","GreaterAfrican,Africans_mean","GreaterAfrican,Africans_std","GreaterAfrican,Africans_lb","GreaterAfrican,Africans_ub","GreaterAfrican,Muslim_mean","GreaterAfrican,Muslim_std","GreaterAfrican,Muslim_lb","GreaterAfrican,Muslim_ub","GreaterEuropean,British_mean","GreaterEuropean,British_std","GreaterEuropean,British_lb","GreaterEuropean,British_ub","GreaterEuropean,EastEuropean_mean","GreaterEuropean,EastEuropean_std","GreaterEuropean,EastEuropean_lb","GreaterEuropean,EastEuropean_ub","GreaterEuropean,Jewish_mean","GreaterEuropean,Jewish_std","GreaterEuropean,Jewish_lb","GreaterEuropean,Jewish_ub","GreaterEuropean,WestEuropean,French_mean","GreaterEuropean,WestEuropean,French_std","GreaterEuropean,WestEuropean,French_lb","GreaterEuropean,WestEuropean,French_ub","GreaterEuropean,WestEuropean,Germanic_mean","GreaterEuropean,WestEuropean,Germanic_std","GreaterEuropean,WestEuropean,Germanic_lb","GreaterEuropean,WestEuropean,Germanic_ub","GreaterEuropean,WestEuropean,Hispanic_mean","GreaterEuropean,WestEuropean,Hispanic_std","GreaterEuropean,WestEuropean,Hispanic_lb","GreaterEuropean,WestEuropean,Hispanic_ub","GreaterEuropean,WestEuropean,Italian_mean","GreaterEuropean,WestEuropean,Italian_std","GreaterEuropean,WestEuropean,Italian_lb","GreaterEuropean,WestEuropean,Italian_ub","GreaterEuropean,WestEuropean,Nordic_mean","GreaterEuropean,WestEuropean,Nordic_std","GreaterEuropean,WestEuropean,Nordic_lb","GreaterEuropean,WestEuropean,Nordic_ub",race
How to Invent Everything,North,0,0.00724761426448822,0.004495399178446637,0.0014071948826313019,0.0018996653379872441,0.008040014505386352,0.0038439764906843307,0.0025321764405816793,0.002533088205382228,0.027850894927978515,0.02941860347341911,0.003405570052564144,0.003460090374574065,0.014027758836746215,0.009667987785798197,0.004075205884873867,0.004385543055832386,0.011150753498077393,0.009268136565167572,0.0009960605530068278,0.0017889986047521234,0.48803016662597654,0.13453804383941095,0.183050274848938,0.18429861962795258,0.03071978807449341,0.014022726339657371,0.009373490698635578,0.01041398849338293,0.1052901268005371,0.061542448554633145,0.024328773841261864,0.02492767758667469,0.0421013069152832,0.018303376003080452,0.015513671562075615,0.016072554513812065,0.1726686477661133,0.08891982804485599,0.028577085584402084,0.0412212610244751,0.04429064750671387,0.01846648165433163,0.01707359403371811,0.02103530243039131,0.009830578565597534,0.0068450844182722,0.00239836354739964,0.0024089429061859846,0.03875177145004272,0.024671682069365333,0.008381017483770847,0.008641018532216549,"GreaterEuropean,British"
Percy Jackson,Riordan,1,0.0037907567620277405,0.002406161627658404,0.0009280864032916725,0.001209160895086825,0.004509672224521637,0.002219728637842291,0.0008930801413953304,0.0012242576340213418,0.016314361095428467,0.013454740282437528,0.002254792721942067,0.002328405389562249,0.003063165545463562,0.0020018965926440696,0.0007214467623271048,0.0007298233103938401,0.02528456926345825,0.0151418970838373,0.005855531897395849,0.006400092970579863,0.5664483642578125,0.09947794312102051,0.3249003291130066,0.34907135367393494,0.04916792392730713,0.0237157821648255,0.012225016951560974,0.01267356425523758,0.21843412399291992,0.08191393940161415,0.07049749791622162,0.09754741936922073,0.04281184673309326,0.017702370973502874,0.011471349745988846,0.01589568518102169,0.010452953577041625,0.004018287440817232,0.003616843605414033,0.00419186893850565,0.026665658950805665,0.012338909230724643,0.00931802112609148,0.01024431362748146,0.015523632764816284,0.007391063126483979,0.0031742930877953768,0.0036700847558677197,0.017532886266708375,0.00866902521367199,0.005303152836859226,0.005531840957701206,"GreaterEuropean,British"
Oxford Dictionary,Simpson,2,0.0019098655879497529,0.00112091553674064,0.00024655257584527135,0.0003926877398043871,0.0009606926143169403,0.000957246462466935,9.587138629285619e-05,0.00010278839181410149,0.0007189890742301941,0.0009564243490046123,5.205800334806554e-05,7.566119165858254e-05,0.004197662174701691,0.0049180609322844,0.0006954538403078914,0.0008611690136604011,0.0006397495418787002,0.000497102465554822,8.632076060166582e-05,9.115027933148667e-05,0.8631916809082031,0.07376750643934897,0.6111780405044556,0.6404021382331848,0.002667166292667389,0.001806740691011945,0.00024705874966457486,0.00041600788244977593,0.03144524097442627,0.028219803043817233,0.0038932713214308023,0.004501130431890488,0.020186002254486083,0.013553320644099899,0.0019935928285121918,0.0038692012894898653,0.0028930264711380005,0.0022985219065474434,0.0002960429119411856,0.0005838188226334751,0.011616419553756713,0.006506938486565495,0.0015795656945556402,0.00224018981680274,0.003052835166454315,0.002531148219644695,0.00038311377284117043,0.0004085437103640288,0.056520729064941405,0.05079078383328384,0.0049377623945474625,0.006112122908234596,"GreaterEuropean,British"
azal,Mettu,3,0.04509017467498779,0.03657758154112116,0.004329231102019548,0.005650465376675129,0.008635417222976685,0.007090635663117039,0.0004327077476773411,0.0005707786185666919,0.18975303649902345,0.11494685017875698,0.018517805263400078,0.0219121091067791,0.2934920120239258,0.14511847578921205,0.06890992820262909,0.0712350606918335,0.08794611930847168,0.050027859285472834,0.018077077344059944,0.021908747032284737,0.09358360290527344,0.0414082583809749,0.022861698642373085,0.028013091534376144,0.002577083706855774,0.0015176399072551665,0.0005148720229044557,0.0005328484112396836,0.016551603078842164,0.008411034561782611,0.005380192771553993,0.005413999781012535,0.054983477592468265,0.022603353289272887,0.019458206370472908,0.020581476390361786,0.007765873670578003,0.004641672546504623,0.0009505455382168293,0.0014739889884367585,0.024009406566619873,0.014193674425273257,0.004045678302645683,0.00449254410341382,0.16328292846679687,0.07896328877118902,0.031929247081279755,0.03741300106048584,0.012329246997833252,0.009189093947611665,0.0011205062037333846,0.0016220241086557508,"GreaterAfrican,Africans"
